run_id,case_id,repetition,human_decision,pre_wait_automation_ms,human_wait_ms,post_decision_automation_ms,total_hitl_elapsed_ms,included_in_rq3_automated_latency,n8n_execution_id
S10_EVAL-HITL-01A_CONFIG-OBID_R01,EVAL-HITL-01A,R01,approve,466,57412,250,58128,False,200
S10_EVAL-HITL-01B_CONFIG-OBID_R01,EVAL-HITL-01B,R01,deny,556,26417,139,27112,False,202
S10_EVAL-HITL-01B_CONFIG-OBID_R02,EVAL-HITL-01B,R02,deny,410,21449,113,21972,False,204
S10_EVAL-HITL-01A_CONFIG-OBID_R02,EVAL-HITL-01A,R02,approve,512,24932,165,25609,False,206
S10_EVAL-HITL-01A_CONFIG-OBID_R03,EVAL-HITL-01A,R03,approve,677,22183,178,23038,False,208
S10_EVAL-HITL-01B_CONFIG-OBID_R03,EVAL-HITL-01B,R03,approve,535,17038,183,17756,False,210
S10_EVAL-HITL-01B_CONFIG-OBID_R04,EVAL-HITL-01B,R04,deny,540,14973,138,15651,False,212
S10_EVAL-HITL-01A_CONFIG-OBID_R04,EVAL-HITL-01A,R04,approve,439,13991,226,14656,False,214
S10_EVAL-HITL-01A_CONFIG-OBID_R05,EVAL-HITL-01A,R05,approve,454,15310,160,15924,False,216
S10_EVAL-HITL-01B_CONFIG-OBID_R05,EVAL-HITL-01B,R05,deny,417,19718,117,20252,False,218
