case_id,configuration,attempted,correct,correctness_percentage,modal_outcome_signature,modal_count,modal_agreement_percentage,modal_tie_count,visible_failure_categories,raw_run_ids,n8n_execution_ids
EVAL-HIGH-01,CONFIG-BASELINE,5,5,100.0,"{""contractual_action"":{""action_id"":""fan_on"",""requires_approval"":false,""target"":""fan_1""},""endpoint_reached"":""/fan/on"",""reason_schema_valid"":true,""run_status"":""success"",""shared_action_emitted"":true,""state_after"":""on"",""terminal_stage"":""YACOUB_ACTION_ENDPOINT_POST_FAN_ON""}",5,100.0,1,,S10_EVAL-HIGH-01_CONFIG-BASELINE_R01|S10_EVAL-HIGH-01_CONFIG-BASELINE_R02|S10_EVAL-HIGH-01_CONFIG-BASELINE_R03|S10_EVAL-HIGH-01_CONFIG-BASELINE_R04|S10_EVAL-HIGH-01_CONFIG-BASELINE_R05,75|120|136|158|176
EVAL-HIGH-01,CONFIG-OBID,5,5,100.0,"{""contractual_action"":{""action_id"":""fan_on"",""requires_approval"":false,""target"":""fan_1""},""endpoint_reached"":""/fan/on"",""reason_schema_valid"":true,""run_status"":""success"",""shared_action_emitted"":true,""state_after"":""on"",""terminal_stage"":""YACOUB_ACTION_ENDPOINT_POST_FAN_ON""}",5,100.0,1,,S10_EVAL-HIGH-01_CONFIG-OBID_R01|S10_EVAL-HIGH-01_CONFIG-OBID_R02|S10_EVAL-HIGH-01_CONFIG-OBID_R03|S10_EVAL-HIGH-01_CONFIG-OBID_R04|S10_EVAL-HIGH-01_CONFIG-OBID_R05,76|117|137|155|177
EVAL-LOW-01,CONFIG-BASELINE,5,5,100.0,"{""contractual_action"":{""action_id"":""fan_off"",""requires_approval"":false,""target"":""fan_1""},""endpoint_reached"":""/fan/off"",""reason_schema_valid"":true,""run_status"":""success"",""shared_action_emitted"":true,""state_after"":""off"",""terminal_stage"":""YACOUB_ACTION_ENDPOINT_POST_FAN_OFF""}",5,100.0,1,,S10_EVAL-LOW-01_CONFIG-BASELINE_R01|S10_EVAL-LOW-01_CONFIG-BASELINE_R02|S10_EVAL-LOW-01_CONFIG-BASELINE_R03|S10_EVAL-LOW-01_CONFIG-BASELINE_R04|S10_EVAL-LOW-01_CONFIG-BASELINE_R05,82|98|143|159|183
EVAL-LOW-01,CONFIG-OBID,5,5,100.0,"{""contractual_action"":{""action_id"":""fan_off"",""requires_approval"":false,""target"":""fan_1""},""endpoint_reached"":""/fan/off"",""reason_schema_valid"":true,""run_status"":""success"",""shared_action_emitted"":true,""state_after"":""off"",""terminal_stage"":""YACOUB_ACTION_ENDPOINT_POST_FAN_OFF""}",5,100.0,1,,S10_EVAL-LOW-01_CONFIG-OBID_R01|S10_EVAL-LOW-01_CONFIG-OBID_R02|S10_EVAL-LOW-01_CONFIG-OBID_R03|S10_EVAL-LOW-01_CONFIG-OBID_R04|S10_EVAL-LOW-01_CONFIG-OBID_R05,79|99|140|160|180
EVAL-THRESHOLD-01,CONFIG-BASELINE,5,5,100.0,"{""contractual_action"":{""action_id"":""fan_on"",""requires_approval"":false,""target"":""fan_1""},""endpoint_reached"":""/fan/on"",""reason_schema_valid"":true,""run_status"":""success"",""shared_action_emitted"":true,""state_after"":""on"",""terminal_stage"":""YACOUB_ACTION_ENDPOINT_POST_FAN_ON""}",5,100.0,1,,S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R01|S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R02|S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R03|S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R04|S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R05,83|105|121|166|184
EVAL-THRESHOLD-01,CONFIG-OBID,5,5,100.0,"{""contractual_action"":{""action_id"":""fan_on"",""requires_approval"":false,""target"":""fan_1""},""endpoint_reached"":""/fan/on"",""reason_schema_valid"":true,""run_status"":""success"",""shared_action_emitted"":true,""state_after"":""on"",""terminal_stage"":""YACOUB_ACTION_ENDPOINT_POST_FAN_ON""}",5,100.0,1,,S10_EVAL-THRESHOLD-01_CONFIG-OBID_R01|S10_EVAL-THRESHOLD-01_CONFIG-OBID_R02|S10_EVAL-THRESHOLD-01_CONFIG-OBID_R03|S10_EVAL-THRESHOLD-01_CONFIG-OBID_R04|S10_EVAL-THRESHOLD-01_CONFIG-OBID_R05,84|102|122|163|185
EVAL-MALFORMED-01,CONFIG-BASELINE,5,0,0.0,"{""contractual_action"":{""action_id"":""fan_off"",""requires_approval"":false,""target"":""fan_1""},""endpoint_reached"":""/fan/off"",""reason_schema_valid"":true,""run_status"":""success"",""shared_action_emitted"":true,""state_after"":""off"",""terminal_stage"":""YACOUB_ACTION_ENDPOINT_POST_FAN_OFF""}",3,60.0,1,run_status:error|unexpected_endpoint_call|unexpected_shared_action,S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R01|S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R02|S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R03|S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R04|S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R05,88|106|126|144|189
EVAL-MALFORMED-01,CONFIG-OBID,5,5,100.0,"{""contractual_action"":null,""endpoint_reached"":null,""reason_schema_valid"":null,""run_status"":""success"",""shared_action_emitted"":false,""state_after"":""off"",""terminal_stage"":""OBID_INPUT_HANDLING""}",5,100.0,1,,S10_EVAL-MALFORMED-01_CONFIG-OBID_R01|S10_EVAL-MALFORMED-01_CONFIG-OBID_R02|S10_EVAL-MALFORMED-01_CONFIG-OBID_R03|S10_EVAL-MALFORMED-01_CONFIG-OBID_R04|S10_EVAL-MALFORMED-01_CONFIG-OBID_R05,87|107|125|145|188
EVAL-MEMORY-01A,CONFIG-BASELINE,5,5,100.0,"{""contractual_action"":{""action_id"":""fan_on"",""requires_approval"":false,""target"":""fan_1""},""endpoint_reached"":""/fan/on"",""reason_schema_valid"":true,""run_status"":""success"",""shared_action_emitted"":true,""state_after"":""on"",""terminal_stage"":""YACOUB_ACTION_ENDPOINT_POST_FAN_ON""}",5,100.0,1,,S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R01|S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R02|S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R03|S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R04|S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R05,89|114|127|152|167
EVAL-MEMORY-01A,CONFIG-OBID,5,5,100.0,"{""contractual_action"":{""action_id"":""fan_on"",""requires_approval"":false,""target"":""fan_1""},""endpoint_reached"":""/fan/on"",""reason_schema_valid"":true,""run_status"":""success"",""shared_action_emitted"":true,""state_after"":""on"",""terminal_stage"":""YACOUB_ACTION_ENDPOINT_POST_FAN_ON""}",5,100.0,1,,S10_EVAL-MEMORY-01A_CONFIG-OBID_R01|S10_EVAL-MEMORY-01A_CONFIG-OBID_R02|S10_EVAL-MEMORY-01A_CONFIG-OBID_R03|S10_EVAL-MEMORY-01A_CONFIG-OBID_R04|S10_EVAL-MEMORY-01A_CONFIG-OBID_R05,92|108|130|146|170
