run_id,case_id,configuration,raw_file,n8n_execution_id,linked_child_execution_ids
S10_EVAL-HIGH-01_CONFIG-BASELINE_R01,EVAL-HIGH-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,75,
S10_EVAL-HIGH-01_CONFIG-OBID_R01,EVAL-HIGH-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,76,77|78
S10_EVAL-LOW-01_CONFIG-OBID_R01,EVAL-LOW-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,79,80|81
S10_EVAL-LOW-01_CONFIG-BASELINE_R01,EVAL-LOW-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,82,
S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R01,EVAL-THRESHOLD-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,83,
S10_EVAL-THRESHOLD-01_CONFIG-OBID_R01,EVAL-THRESHOLD-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,84,85|86
S10_EVAL-MALFORMED-01_CONFIG-OBID_R01,EVAL-MALFORMED-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,87,
S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R01,EVAL-MALFORMED-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,88,
S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R01,EVAL-MEMORY-01A,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,89,
S10_EVAL-MEMORY-01B_CONFIG-BASELINE_R01,EVAL-MEMORY-01B,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,90,
S10_EVAL-MEMORY-01C_CONFIG-BASELINE_R01,EVAL-MEMORY-01C,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,91,
S10_EVAL-MEMORY-01A_CONFIG-OBID_R01,EVAL-MEMORY-01A,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,92,93|94
S10_EVAL-MEMORY-01B_CONFIG-OBID_R01,EVAL-MEMORY-01B,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,95,
S10_EVAL-MEMORY-01C_CONFIG-OBID_R01,EVAL-MEMORY-01C,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,96,97
S10_EVAL-LOW-01_CONFIG-BASELINE_R02,EVAL-LOW-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,98,
S10_EVAL-LOW-01_CONFIG-OBID_R02,EVAL-LOW-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,99,100|101
S10_EVAL-THRESHOLD-01_CONFIG-OBID_R02,EVAL-THRESHOLD-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,102,103|104
S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R02,EVAL-THRESHOLD-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,105,
S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R02,EVAL-MALFORMED-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,106,
S10_EVAL-MALFORMED-01_CONFIG-OBID_R02,EVAL-MALFORMED-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,107,
S10_EVAL-MEMORY-01A_CONFIG-OBID_R02,EVAL-MEMORY-01A,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,108,109|110
S10_EVAL-MEMORY-01B_CONFIG-OBID_R02,EVAL-MEMORY-01B,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,111,
S10_EVAL-MEMORY-01C_CONFIG-OBID_R02,EVAL-MEMORY-01C,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,112,113
S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R02,EVAL-MEMORY-01A,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,114,
S10_EVAL-MEMORY-01B_CONFIG-BASELINE_R02,EVAL-MEMORY-01B,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,115,
S10_EVAL-MEMORY-01C_CONFIG-BASELINE_R02,EVAL-MEMORY-01C,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,116,
