actual_ordinal,planned_ordinal,outer_round_or_repetition,block,block_position,case_id,sequence_id,sequence_position,configuration,configuration_pair_position,run_id,timestamp_started,planned_order_status,deviation_reason
1,1,R01,H,1,EVAL-HIGH-01,,,CONFIG-BASELINE,1,S10_EVAL-HIGH-01_CONFIG-BASELINE_R01,2026-08-23T16:05:47.702Z,as_planned,
2,2,R01,H,1,EVAL-HIGH-01,,,CONFIG-OBID,2,S10_EVAL-HIGH-01_CONFIG-OBID_R01,2026-08-23T16:06:15.709Z,as_planned,
3,3,R01,L,2,EVAL-LOW-01,,,CONFIG-OBID,1,S10_EVAL-LOW-01_CONFIG-OBID_R01,2026-08-23T16:06:24.304Z,as_planned,
4,4,R01,L,2,EVAL-LOW-01,,,CONFIG-BASELINE,2,S10_EVAL-LOW-01_CONFIG-BASELINE_R01,2026-08-23T16:06:33.095Z,as_planned,
5,5,R01,T,3,EVAL-THRESHOLD-01,,,CONFIG-BASELINE,1,S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R01,2026-08-23T16:06:39.427Z,as_planned,
6,6,R01,T,3,EVAL-THRESHOLD-01,,,CONFIG-OBID,2,S10_EVAL-THRESHOLD-01_CONFIG-OBID_R01,2026-08-23T16:06:45.809Z,as_planned,
7,7,R01,M,4,EVAL-MALFORMED-01,,,CONFIG-OBID,1,S10_EVAL-MALFORMED-01_CONFIG-OBID_R01,2026-08-23T16:06:58.471Z,as_planned,
8,8,R01,M,4,EVAL-MALFORMED-01,,,CONFIG-BASELINE,2,S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R01,2026-08-23T16:07:09.391Z,as_planned,
9,9,R01,S,5,EVAL-MEMORY-01A,EVAL-MEMORY-01,A,CONFIG-BASELINE,1,S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R01,2026-08-23T16:07:47.701Z,as_planned,
10,10,R01,S,5,EVAL-MEMORY-01B,EVAL-MEMORY-01,B,CONFIG-BASELINE,1,S10_EVAL-MEMORY-01B_CONFIG-BASELINE_R01,2026-08-23T16:07:57.846Z,as_planned,
11,11,R01,S,5,EVAL-MEMORY-01C,EVAL-MEMORY-01,C,CONFIG-BASELINE,1,S10_EVAL-MEMORY-01C_CONFIG-BASELINE_R01,2026-08-23T16:08:07.022Z,as_planned,
12,12,R01,S,5,EVAL-MEMORY-01A,EVAL-MEMORY-01,A,CONFIG-OBID,2,S10_EVAL-MEMORY-01A_CONFIG-OBID_R01,2026-08-23T16:08:17.384Z,as_planned,
13,13,R01,S,5,EVAL-MEMORY-01B,EVAL-MEMORY-01,B,CONFIG-OBID,2,S10_EVAL-MEMORY-01B_CONFIG-OBID_R01,2026-08-23T16:08:31.696Z,as_planned,
14,14,R01,S,5,EVAL-MEMORY-01C,EVAL-MEMORY-01,C,CONFIG-OBID,2,S10_EVAL-MEMORY-01C_CONFIG-OBID_R01,2026-08-23T16:08:44.289Z,as_planned,
15,15,R02,L,1,EVAL-LOW-01,,,CONFIG-BASELINE,1,S10_EVAL-LOW-01_CONFIG-BASELINE_R02,2026-08-23T16:08:58.356Z,as_planned,
16,16,R02,L,1,EVAL-LOW-01,,,CONFIG-OBID,2,S10_EVAL-LOW-01_CONFIG-OBID_R02,2026-08-23T16:09:09.703Z,as_planned,
17,17,R02,T,2,EVAL-THRESHOLD-01,,,CONFIG-OBID,1,S10_EVAL-THRESHOLD-01_CONFIG-OBID_R02,2026-08-23T16:09:22.733Z,as_planned,
18,18,R02,T,2,EVAL-THRESHOLD-01,,,CONFIG-BASELINE,2,S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R02,2026-08-23T16:09:35.203Z,as_planned,
19,19,R02,M,3,EVAL-MALFORMED-01,,,CONFIG-BASELINE,1,S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R02,2026-08-23T16:09:45.190Z,as_planned,
20,20,R02,M,3,EVAL-MALFORMED-01,,,CONFIG-OBID,2,S10_EVAL-MALFORMED-01_CONFIG-OBID_R02,2026-08-23T16:10:15.268Z,as_planned,
21,21,R02,S,4,EVAL-MEMORY-01A,EVAL-MEMORY-01,A,CONFIG-OBID,1,S10_EVAL-MEMORY-01A_CONFIG-OBID_R02,2026-08-23T16:10:23.675Z,as_planned,
22,22,R02,S,4,EVAL-MEMORY-01B,EVAL-MEMORY-01,B,CONFIG-OBID,1,S10_EVAL-MEMORY-01B_CONFIG-OBID_R02,2026-08-23T16:10:38.070Z,as_planned,
23,23,R02,S,4,EVAL-MEMORY-01C,EVAL-MEMORY-01,C,CONFIG-OBID,1,S10_EVAL-MEMORY-01C_CONFIG-OBID_R02,2026-08-23T16:10:51.775Z,as_planned,
24,24,R02,S,4,EVAL-MEMORY-01A,EVAL-MEMORY-01,A,CONFIG-BASELINE,2,S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R02,2026-08-23T16:11:03.974Z,as_planned,
25,25,R02,S,4,EVAL-MEMORY-01B,EVAL-MEMORY-01,B,CONFIG-BASELINE,2,S10_EVAL-MEMORY-01B_CONFIG-BASELINE_R02,2026-08-23T16:11:12.992Z,as_planned,
26,26,R02,S,4,EVAL-MEMORY-01C,EVAL-MEMORY-01,C,CONFIG-BASELINE,2,S10_EVAL-MEMORY-01C_CONFIG-BASELINE_R02,2026-08-23T16:11:23.384Z,as_planned,
27,27,R02,H,5,EVAL-HIGH-01,,,CONFIG-OBID,1,S10_EVAL-HIGH-01_CONFIG-OBID_R02,2026-08-23T16:11:32.948Z,as_planned,
28,28,R02,H,5,EVAL-HIGH-01,,,CONFIG-BASELINE,2,S10_EVAL-HIGH-01_CONFIG-BASELINE_R02,2026-08-23T16:11:43.403Z,as_planned,
29,29,R03,T,1,EVAL-THRESHOLD-01,,,CONFIG-BASELINE,1,S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R03,2026-08-23T16:11:51.871Z,as_planned,
30,30,R03,T,1,EVAL-THRESHOLD-01,,,CONFIG-OBID,2,S10_EVAL-THRESHOLD-01_CONFIG-OBID_R03,2026-08-23T16:12:00.212Z,as_planned,
31,31,R03,M,2,EVAL-MALFORMED-01,,,CONFIG-OBID,1,S10_EVAL-MALFORMED-01_CONFIG-OBID_R03,2026-08-23T16:12:09.421Z,as_planned,
32,32,R03,M,2,EVAL-MALFORMED-01,,,CONFIG-BASELINE,2,S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R03,2026-08-23T16:12:14.151Z,as_planned,
33,33,R03,S,3,EVAL-MEMORY-01A,EVAL-MEMORY-01,A,CONFIG-BASELINE,1,S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R03,2026-08-23T16:12:44.210Z,as_planned,
34,34,R03,S,3,EVAL-MEMORY-01B,EVAL-MEMORY-01,B,CONFIG-BASELINE,1,S10_EVAL-MEMORY-01B_CONFIG-BASELINE_R03,2026-08-23T16:12:49.921Z,as_planned,
35,35,R03,S,3,EVAL-MEMORY-01C,EVAL-MEMORY-01,C,CONFIG-BASELINE,1,S10_EVAL-MEMORY-01C_CONFIG-BASELINE_R03,2026-08-23T16:12:56.611Z,as_planned,
36,36,R03,S,3,EVAL-MEMORY-01A,EVAL-MEMORY-01,A,CONFIG-OBID,2,S10_EVAL-MEMORY-01A_CONFIG-OBID_R03,2026-08-23T16:13:02.933Z,as_planned,
37,37,R03,S,3,EVAL-MEMORY-01B,EVAL-MEMORY-01,B,CONFIG-OBID,2,S10_EVAL-MEMORY-01B_CONFIG-OBID_R03,2026-08-23T16:13:11.595Z,as_planned,
38,38,R03,S,3,EVAL-MEMORY-01C,EVAL-MEMORY-01,C,CONFIG-OBID,2,S10_EVAL-MEMORY-01C_CONFIG-OBID_R03,2026-08-23T16:13:23.265Z,as_planned,
39,39,R03,H,4,EVAL-HIGH-01,,,CONFIG-BASELINE,1,S10_EVAL-HIGH-01_CONFIG-BASELINE_R03,2026-08-23T16:13:32.394Z,as_planned,
40,40,R03,H,4,EVAL-HIGH-01,,,CONFIG-OBID,2,S10_EVAL-HIGH-01_CONFIG-OBID_R03,2026-08-23T16:13:38.774Z,as_planned,
41,41,R03,L,5,EVAL-LOW-01,,,CONFIG-OBID,1,S10_EVAL-LOW-01_CONFIG-OBID_R03,2026-08-23T16:13:49.699Z,as_planned,
42,42,R03,L,5,EVAL-LOW-01,,,CONFIG-BASELINE,2,S10_EVAL-LOW-01_CONFIG-BASELINE_R03,2026-08-23T16:13:58.220Z,as_planned,
43,43,R04,M,1,EVAL-MALFORMED-01,,,CONFIG-BASELINE,1,S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R04,2026-08-23T16:14:04.897Z,as_planned,
44,44,R04,M,1,EVAL-MALFORMED-01,,,CONFIG-OBID,2,S10_EVAL-MALFORMED-01_CONFIG-OBID_R04,2026-08-23T16:14:23.867Z,as_planned,
45,45,R04,S,2,EVAL-MEMORY-01A,EVAL-MEMORY-01,A,CONFIG-OBID,1,S10_EVAL-MEMORY-01A_CONFIG-OBID_R04,2026-08-23T16:14:28.082Z,as_planned,
